date,ticker,headline,positive,neutral,negative
2024-10-07 12:05:41,AAPL,"Google Starts Rolling Out AI-Powered Security Features To Combat Android Phone Theft - Alphabet  ( NASDAQ:GOOG ) , Alphabet  ( NASDAQ:GOOGL ) ",0.128,0.745,0.128
2024-10-07 11:30:00,AAPL,Should You Follow Warren Buffett and Sell Apple Stock?,0.0,1.0,0.0
2024-10-07 10:20:06,AAPL,Should You Invest in the Fidelity MSCI Information Technology Index ETF  ( FTEC ) ?,0.0,1.0,0.0
2024-10-07 10:20:06,AAPL,Should Schwab Fundamental U.S. Large Company ETF  ( FNDX )  Be on Your Investing Radar?,0.0,1.0,0.0
2024-10-07 09:20:00,AAPL,"Zacks Investment Ideas feature highlights: Taiwan, Netflix, Nvidia, Apple and Amazon",0.145,0.855,0.0
2024-10-07 02:08:09,AAPL,"Unreleased M4 MacBook Pro Shown Off By Russian YouTuber: 'We've Seen Prototypes Leak Early But Never A Full Retail Apple Device Weeks In Advance,' Says Expert - Apple  ( NASDAQ:AAPL ) ",0.0,0.939,0.061
2024-10-06 12:00:20,AAPL,"Consumer Tech News  ( Sept 30-Oct 4 ) : Latest Windows 11 Update Causing Trouble, Apple Accused Of Compelling Employees To Sign Illegal Agreements & More - Apple  ( NASDAQ:AAPL ) , Accenture  ( NYSE:ACN ) ",0.123,0.615,0.262
2024-10-06 11:00:19,AAPL,"New Display Tech For iPhone 17 Air, Apple's Legal Woes, And Lifesaving Features: This Week In Appleverse - Apple  ( NASDAQ:AAPL ) ",0.07,0.794,0.136
2024-10-06 10:00:00,AAPL,"Prediction: These 2 Stocks Will Join Nvidia, Meta, Apple, Amazon, and Microsoft in the Trillion-Dollar Club by 2030",0.206,0.794,0.0
2024-10-06 09:50:00,AAPL,"The S&P 500 Just Hit a New High: 2 Stocks to Buy Now, According to These Wall Street Analysts",0.0,1.0,0.0
2024-10-06 08:51:00,AAPL,The Subtle Reason Stocks Can Plunge if Kamala Harris Raises the Corporate Tax Rate by 33%,0.0,1.0,0.0
2024-10-05 22:00:34,AAPL,"Legendary Apple Co-Founder Steve Jobs Once Said, 'Being The Richest Man In The Cemetery Doesn't Matter To Me:' Maybe That's Why His Impact Transcends Financial Success For iPhone-Maker And Beyond",0.202,0.768,0.031
2024-10-05 20:00:00,AAPL,"Is Apple a Buy, Sell, or Hold in 2025?",0.0,1.0,0.0
2024-10-05 13:30:56,AAPL,"Nvidia, Apple, Amazon, Spirit Airlines - And Dogecoin Drops But Whale Activity Remains High: Bulls And Bears",0.162,0.838,0.0
2024-10-05 10:45:00,AAPL,Should You Forget Apple and Buy These 3 Tech Stocks Instead?,0.0,0.826,0.174
2024-10-05 07:47:12,AAPL,Apple Might Have Just Found The Technology To Power Its Thin iPhone 17 Air Display - Apple  ( NASDAQ:AAPL ) ,0.0,1.0,0.0
2024-10-05 07:18:00,AAPL,3 Soaring Stocks I'd Buy Now With No Hesitation,0.0,0.583,0.417
2024-10-04 21:13:00,AAPL,3 Reasons to Buy Nvidia Stock Before October 7,0.0,1.0,0.0
2024-10-04 17:36:20,AAPL,"Charlie Munger Said He'd 'Go Crazy' Taking Elon Musk's Risks, But Admitted Missing Out On Tesla, Amazon, And 'Extreme Talents' Like Musk, Bezos - Apple  ( NASDAQ:AAPL ) , Amazon.com  ( NASDAQ:AMZN ) ",0.295,0.541,0.164
2024-10-04 16:05:54,AAPL,"AI Stocks Ripping, Barn Burner Jobs Report - Could Powell Be Wrong? - Apple  ( NASDAQ:AAPL ) ",0.0,0.795,0.205
2024-10-04 15:17:00,AAPL,Can Garmin's Launch of Lily 2 Smartwatch Push the Stock Higher?,0.0,1.0,0.0
2024-10-04 14:52:54,AAPL,"Market Clubhouse Morning Memo - October 4th, 2024  ( Trade Strategy For SPY, QQQ, AAPL, MSFT, NVDA, GOOGL, META And TSLA )  - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) ",0.125,0.875,0.0
2024-10-04 14:47:10,AAPL,This Is What Whales Are Betting On Apple - Apple  ( NASDAQ:AAPL ) ,0.0,1.0,0.0
2024-10-04 13:06:30,AAPL,Apple Set To Open 4 New Retail Stores In India As Tech Giant Looks To Build On Retail Success - Apple  ( NASDAQ:AAPL ) ,0.163,0.837,0.0
2024-10-04 11:54:09,AAPL,What's Going On With Taiwan Semiconductor Stock On Friday? - Taiwan Semiconductor  ( NYSE:TSM ) ,0.0,1.0,0.0
2024-10-04 10:20:07,AAPL,Is Franklin U.S. Large Cap Multifactor Index ETF  ( FLQL )  a Strong ETF Right Now?,0.216,0.784,0.0
2024-10-04 10:20:05,AAPL,Is WisdomTree U.S. LargeCap Dividend ETF  ( DLN )  a Strong ETF Right Now?,0.248,0.752,0.0
2024-10-04 09:43:00,AAPL,"What's the Best ""Magnificent Seven"" Stock to Buy With the Fed Cutting Rates?",0.413,0.51,0.077
2024-10-04 09:15:00,AAPL,Why I Sold My Apple Stock,0.0,1.0,0.0
2024-10-04 03:43:30,AAPL,"YouTube Bug Bans Users And Removes Channels: Google's Video Streaming Service Says They Know About It - Alphabet  ( NASDAQ:GOOG ) , Alphabet  ( NASDAQ:GOOGL ) ",0.0,1.0,0.0
2024-10-03 19:35:52,AAPL,"Why the Magnificent 7 Could Become a Pain Trade for Investors - Alibaba Gr Hldgs  ( NYSE:BABA ) , Baidu  ( NASDAQ:BIDU ) ",0.193,0.644,0.163
2024-10-03 15:39:26,AAPL,"Investors Suffering Cognitive Dissonance, Insane Demand For Nvidia Chips, Anxiety Builds About Israel And Iran - Apple  ( NASDAQ:AAPL ) ",0.0,0.591,0.409
2024-10-03 14:52:53,AAPL,"Market Clubhouse Morning Memo - October 2nd, 2024  ( Trade Strategy For SPY, QQQ, AAPL, MSFT, NVDA, GOOGL, META And TSLA )  - Alphabet  ( NASDAQ:GOOGL ) , Apple  ( NASDAQ:AAPL ) ",0.0,1.0,0.0
2024-10-03 13:09:00,AAPL,Dell's Founder and CEO Unloads $1.2 Billion in Stock: Should Investors Worry?,0.0,0.791,0.209
2024-10-03 12:00:00,AAPL,Femtech Market to Witness 16.3% CAGR by 2031 | SkyQuest Technology,0.0,1.0,0.0
